id;username;password;rol;telefono;direccion_1;ciudad;pais;latitud;longitud
1;Buckinghamshire transmitting;multiestado;REPARTIDOR;synthesize;Informática;primary program Interno;system transmitting Galicia;53;-24
2;program Rústico;Berkshire user-centric Acero;REPARTIDOR;payment state;deposit Mascotas;Facilitador Hecho morph;withdrawal empower microchip;75;87
3;Expandido cara;Micronesia Corporativo;REPARTIDOR;Normas;multiestado virtual Sorprendente;array Bricolaje;Pound transmitter bandwidth;81;-24
4;Bedfordshire virtual;invoice CSS;RESTAURANTE;bypassing;Salud complejidad hack;Andalucía;Algodón Sorprendente;-7;-95
5;Heredado withdrawal;Administrador Mascotas;REPARTIDOR;input Videojuegos;platforms platforms Fantástico;XML Rústico;web-readiness redundant Ingeniero;5;111
6;Franc invoice pixel;Videojuegos;REPARTIDOR;parsing Masía;open-source;Cambridgeshire Kazajistan;Dinar Investment;-15;-153
7;Credit Tenge Cuba;Pequeño;RESTAURANTE;distributed;Sabroso Electrónica algoritmo;Supervisor en;Andalucía Ecuatorial Blanco;63;-159
8;Sorprendente technologies;markets Monetary;CLIENTE;portals;payment Amarillo;Fantástico Electrónica Pantalones;Berkshire unleash;-26;-146
9;leading-edge Gerente Guapa;Normas SDD SDD;RESTAURANTE;Joyería;Adelante Rwanda ADP;Kiribati Regional;Lugar;60;-179
10;Creativo digital;Electrónica Reducido;REPARTIDOR;Diseñador program;Orgánico Morado;Granito array;Valenciana THX;-24;-105
